book_id,title,authors,average_rating,sentiment_score,sentiment_label
375802,"Ender's Game (Ender's Saga, #1)",Orson Scott Card,4.3,0.0,neutral
18490,Frankenstein,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",3.75,0.0,neutral
11588,The Shining (The Shining #1),Stephen King,4.17,0.0,neutral
1656001,"The Host (The Host, #1)",Stephenie Meyer,3.84,0.0,neutral
99561,Looking for Alaska,John Green,4.09,0.0,neutral
227443,"Bridget Jones's Diary (Bridget Jones, #1)",Helen Fielding,3.75,0.0,neutral
14935,Sense and Sensibility,"Jane Austen, Tony Tanner, Ros Ballaster",4.06,0.0,neutral
38709,"Holes (Holes, #1)","Louis Sachar, Louis Sachar",3.93,0.0,neutral
5139,"The Devil Wears Prada (The Devil Wears Prada, #1)",Lauren Weisberger,3.7,-0.8689,negative
1381,The Odyssey,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",3.73,0.0,neutral
157993,The Little Prince,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",4.28,0.0,neutral
7445,The Glass Castle,Jeannette Walls,4.24,0.0,neutral
1845,Into the Wild,Jon Krakauer,3.94,0.0,neutral
1953,A Tale of Two Cities,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",3.81,0.0,neutral
7677,"Jurassic Park (Jurassic Park, #1)",Michael Crichton,3.96,0.0,neutral
370493,The Giving Tree,Shel Silverstein,4.38,0.34,neutral
32542,A Time to Kill,John Grisham,4.03,-0.6908,negative
1617,Night (The Night Trilogy #1),"Elie Wiesel, Marion Wiesel",4.3,0.0,neutral
6442769,Paper Towns,John Green,3.88,0.0,neutral
21787,The Princess Bride ,William Goldman,4.25,0.0,neutral
231804,The Outsiders,S.E. Hinton,4.06,0.0,neutral
6186357,"The Maze Runner (Maze Runner, #1)",James Dashner,4.02,0.0,neutral
1202,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)","Steven D. Levitt, Stephen J. Dubner",3.93,0.0,neutral
2998,The Secret Garden,Frances Hodgson Burnett,4.12,0.0,neutral
320,One Hundred Years of Solitude,"Gabriel García Márquez, Gregory Rabassa",4.04,0.0,neutral
5297,The Picture of Dorian Gray,"Oscar Wilde, Jeffrey Eugenides",4.06,0.0,neutral
13536860,"Fifty Shades Freed (Fifty Shades, #3)",E.L. James,3.88,0.4019,neutral
17245,Dracula,"Bram Stoker, Nina Auerbach, David J. Skal",3.98,0.0,neutral
5060378,"The Girl Who Played with Fire (Millennium, #2)","Stieg Larsson, Reg Keeland",4.22,0.0,neutral
11857408,"Fifty Shades Darker (Fifty Shades, #2)",E.L. James,3.87,0.0,neutral
7244,The Poisonwood Bible,Barbara Kingsolver,4.02,-0.25,neutral
4137,Me Talk Pretty One Day,David Sedaris,3.97,0.4939,neutral
19543,Where the Wild Things Are,Maurice Sendak,4.22,0.0,neutral
7126,The Count of Monte Cristo,"Alexandre Dumas, Robin Buss",4.21,0.0,neutral
6288,The Road,Cormac McCarthy,3.95,0.0,neutral
18710190,"Allegiant (Divergent, #3)",Veronica Roth,3.63,0.0,neutral
9418327,Bossypants,Tina Fey,3.94,0.0,neutral
3473,A Walk to Remember,Nicholas Sparks,4.15,0.0,neutral
9416,"Confessions of a Shopaholic (Shopaholic, #1)",Sophie Kinsella,3.61,0.0,neutral
24280,Les Misérables,"Victor Hugo, Lee Fahnestock, Norman MacAfee",4.14,0.0,neutral
10572,"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,4.4,-0.34,neutral
10441,The Memory Keeper's Daughter,Kim Edwards,3.64,0.0,neutral
15507958,"Me Before You (Me Before You, #1)",Jojo Moyes,4.27,0.0,neutral
168668,Catch-22,Joseph Heller,3.98,0.0,neutral
6900,Tuesdays with Morrie,"Mitch Albom, Saulius Dagys",4.06,0.0,neutral
2187,Middlesex,Jeffrey Eugenides,3.98,0.0,neutral
24583,The Adventures of Tom Sawyer,"Mark Twain, Guy Cardwell, John Seelye",3.89,0.34,neutral
18131,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",Madeleine L'Engle,4.04,0.0,neutral
7763,The Joy Luck Club,Amy Tan,3.9,0.7783,positive
38447,The Handmaid's Tale,Margaret Atwood,4.06,0.0,neutral
452306,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",Ann Brashares,3.75,0.0,neutral
7604,Lolita,"Vladimir Nabokov, Craig Raine",3.88,0.0,neutral
37442,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)","Gregory Maguire, Douglas Smith",3.52,-0.9136,negative
5358,"The Firm (Penguin Readers, Level 5)",John Grisham,3.99,0.0,neutral
7937843,Room,Emma Donoghue,4.03,0.0,neutral
1420,Hamlet,"William Shakespeare, Richard Andrews, Rex Gibson",4.0,0.0,neutral
234225,Dune (Dune Chronicles #1),Frank Herbert,4.19,0.0,neutral
2612,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,3.92,0.0,neutral
11084145,Steve Jobs,Walter Isaacson,4.09,0.0,neutral
332613,One Flew Over the Cuckoo's Nest,Ken Kesey,4.18,0.0,neutral
2165,The Old Man and the Sea,Ernest Hemingway,3.73,0.0,neutral
4395,The Grapes of Wrath,John Steinbeck,3.92,0.0,neutral
3431,The Five People You Meet in Heaven,Mitch Albom,3.9,0.5106,positive
8127,"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,4.23,0.0,neutral
3777732,"City of Glass (The Mortal Instruments, #3)",Cassandra Clare,4.34,0.0,neutral
62291,"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,4.54,-0.34,neutral
137791,Divine Secrets of the Ya-Ya Sisterhood,Rebecca Wells,3.79,0.6808,positive
10964,"Outlander (Outlander, #1)",Diana Gabaldon,4.2,0.0,neutral
12296,The Scarlet Letter,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",3.37,0.0,neutral
9460487,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",Ransom Riggs,3.89,0.1531,neutral
6892870,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)","Stieg Larsson, Reg Keeland",4.2,0.0,neutral
18007564,The Martian,Andy Weir,4.39,0.0,neutral
5043,"The Pillars of the Earth (The Kingsbridge Series, #1)",Ken Follett,4.29,0.0,neutral
18143977,All the Light We Cannot See,Anthony Doerr,4.31,0.0,neutral
8664353,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,4.4,-0.5994,negative
976,Deception Point,Dan Brown,3.67,-0.4404,neutral
17333223,The Goldfinch,Donna Tartt,3.87,0.0,neutral
1217100,Thirteen Reasons Why,Jay Asher,4.02,0.0,neutral
2865,Girl with a Pearl Earring,Tracy Chevalier,3.85,0.0,neutral
4374400,"If I Stay (If I Stay, #1)",Gayle Forman,3.96,0.0,neutral
4989,The Red Tent,Anita Diamant,4.16,0.0,neutral
28186,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,4.23,0.0,neutral
5526,Dear John,Nicholas Sparks,4.01,0.3818,neutral
1582996,"City of Ashes (The Mortal Instruments, #2)",Cassandra Clare,4.21,0.0,neutral
8852,Macbeth,William Shakespeare,3.88,0.0,neutral
15241,"The Two Towers (The Lord of the Rings, #2)",J.R.R. Tolkien,4.42,0.0,neutral
42156,"Something Borrowed (Darcy & Rachel, #1)",Emily Giffin,3.83,0.0,neutral
23772,Green Eggs and Ham,"Dr. Seuss, לאה נאור",4.29,0.0,neutral
6310,"Charlie and the Chocolate Factory (Charlie Bucket, #1)","Roald Dahl, Quentin Blake",4.1,0.0,neutral
2120932,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",Rick Riordan,4.39,-0.3818,neutral
2623,Great Expectations,Charles Dickens,3.75,0.6249,positive
18512,"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien,4.51,0.0,neutral
49552,The Stranger,"Albert Camus, Matthew    Ward",3.96,0.0,neutral
7736182,"The Lost Hero (The Heroes of Olympus, #1)",Rick Riordan,4.35,0.6808,positive
15745753,Eleanor & Park,Rainbow Rowell,4.11,0.0,neutral
13497,"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin,4.1,-0.34,neutral
7735333,"Matched (Matched, #1)",Ally Condie,3.68,0.0,neutral
4407,"American Gods (American Gods, #1)",Neil Gaiman,4.11,0.0,neutral
149267,The Stand,"Stephen King, Bernie Wrightson",4.34,0.0,neutral
6400090,The Last Song,Nicholas Sparks,4.14,0.0,neutral
11125,Digital Fortress,Dan Brown,3.6,0.0,neutral
6969,Emma,"Jane Austen, Fiona Stafford",3.99,0.0,neutral
15823480,Anna Karenina,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",4.02,0.0,neutral
227463,A Clockwork Orange,Anthony Burgess,3.98,0.0,neutral
1812457,The Shack,William Paul Young,3.74,0.0,neutral
4502507,"The Last Olympian (Percy Jackson and the Olympians, #5)",Rick Riordan,4.5,0.0,neutral
18342,It,Stephen King,4.18,0.0,neutral
7144,Crime and Punishment,"Fyodor Dostoyevsky, David McDuff",4.18,-0.7717,negative
6514,The Bell Jar,Sylvia Plath,3.98,0.0,neutral
252577,"Angela's Ashes (Frank McCourt, #1)",Frank McCourt,4.07,0.0,neutral
52036,Siddhartha,"Hermann Hesse, Hilda Rosner",3.99,0.0,neutral
168642,In Cold Blood,Truman Capote,4.05,0.0,neutral
6304335,"Beautiful Creatures (Caster Chronicles, #1)","Kami Garcia, Margaret Stohl",3.76,0.5994,positive
7171637,"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare,4.33,0.0,neutral
39988,Matilda,"Roald Dahl, Quentin Blake",4.29,0.0,neutral
9361589,The Night Circus,Erin Morgenstern,4.03,0.0,neutral
37470,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",Philippa Gregory,4.04,0.0,neutral
24770,"Uglies (Uglies, #1)",Scott Westerfeld,3.86,-0.4588,neutral
10664113,"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,4.31,-0.34,neutral
33,"The Lord of the Rings (The Lord of the Rings, #1-3)",J.R.R. Tolkien,4.47,0.0,neutral
12262741,Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,3.96,-0.3182,neutral
472331,Watchmen,"Alan Moore, Dave Gibbons, John Higgins",4.35,0.0,neutral
186074,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,4.55,0.0,neutral
3228917,Outliers: The Story of Success,Malcolm Gladwell,4.11,0.5719,positive
153747,"Moby-Dick or, The Whale","Herman Melville, Andrew Delbanco, Tom Quirk",3.46,0.0,neutral
2728527,The Guernsey Literary and Potato Peel Pie Society,"Mary Ann Shaffer, Annie Barrows",4.12,0.0,neutral
5759,Fight Club,Chuck Palahniuk,4.2,-0.3818,neutral
301082,"Dead Until Dark (Sookie Stackhouse, #1)",Charlaine Harris,3.96,-0.6486,negative
11486,The Color Purple,Alice Walker,4.17,0.0,neutral
12691,Marley and Me: Life and Love With the World's Worst Dog,John Grogan,4.12,0.0258,neutral
16299,And Then There Were None,Agatha Christie,4.23,0.0,neutral
6411961,"The Lost Symbol (Robert Langdon, #3)",Dan Brown,3.66,-0.3182,neutral
6339664,"Hush, Hush (Hush, Hush, #1)",Becca Fitzpatrick,4.0,0.0,neutral
11505797,"Beautiful Disaster (Beautiful, #1)",Jamie McGuire,4.15,-0.0516,neutral
5326,A Christmas Carol,Charles Dickens,4.02,0.0,neutral
43763,"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,3.97,0.0,neutral
10507293,"The Selection (The Selection, #1)",Kiera Cass,4.15,0.0,neutral
6853,"One for the Money (Stephanie Plum, #1)",Janet Evanovich,4.03,0.0,neutral
6493208,The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.04,0.25,neutral
23807,"The Silence of the Lambs  (Hannibal Lecter, #2)",Thomas Harris,4.14,0.0,neutral
345627,"Vampire Academy (Vampire Academy, #1)",Richelle Mead,4.14,0.0,neutral
40102,Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,3.89,0.0,neutral
6867,Atonement,Ian McEwan,3.88,0.0,neutral
485894,The Metamorphosis,"Franz Kafka, Stanley Corngold",3.78,0.0,neutral
561456,"The Titan's Curse (Percy Jackson and the Olympians, #3)",Rick Riordan,4.33,-0.5423,negative
9969571,Ready Player One,Ernest Cline,4.31,0.3612,neutral
3153910,The Art of Racing in the Rain,Garth Stein,4.19,0.0,neutral
21996,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America","Erik Larson, Tony Goldwyn",3.98,-0.8934,negative
13572249,"Bared to You (Crossfire, #1)",Sylvia Day,4.19,0.0,neutral
11127,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)","C.S. Lewis, Pauline Baynes",4.24,0.0,neutral
3609760,Twilight: The Complete Illustrated Movie Companion,Mark Cotta Vaz,4.23,0.0,neutral
60748,"A Child Called ""It"" (Dave Pelzer #1)",Dave Pelzer,4.08,0.0,neutral
7869,"The Bourne Identity (Jason Bourne, #1)",Robert Ludlum,3.98,0.0,neutral
249747,"Artemis Fowl (Artemis Fowl, #1)",Eoin Colfer,3.82,0.0,neutral
6487308,"Fallen (Fallen, #1)",Lauren Kate,3.74,-0.3612,neutral
4406,East of Eden,John Steinbeck,4.35,0.0,neutral
5886881,Dark Places,Gillian Flynn,3.92,0.0,neutral
5359,The Client,John Grisham,3.97,0.0,neutral
228333,"The Nanny Diaries (Nanny, #1)","Emma McLaughlin, Nicola Kraus",3.4,0.0,neutral
24213,Alice's Adventures in Wonderland & Through the Looking-Glass,"Lewis Carroll, John Tenniel, Martin Gardner",4.06,0.34,neutral
2156,Persuasion,"Jane Austen, James Kinsley, Deidre Shauna Lynch",4.13,0.0,neutral
556602,Sarah's Key,Tatiana de Rosnay,4.14,0.0,neutral
43615,"The Gunslinger (The Dark Tower, #1)",Stephen King,3.99,0.0,neutral
9712,Love in the Time of Cholera,"Gabriel García Márquez, Edith Grossman",3.89,0.6369,positive
439288,Speak,Laurie Halse Anderson,4.0,0.0,neutral
17802724,The Husband's Secret,Liane Moriarty,3.92,0.0,neutral
1898,Into Thin Air: A Personal Account of the Mount Everest Disaster,Jon Krakauer,4.11,-0.6249,negative
10592,Carrie,Stephen King,3.93,0.0,neutral
242006,Running with Scissors,Augusten Burroughs,3.7,0.0,neutral
8908,World War Z: An Oral History of the Zombie War,Max Brooks,4.01,-0.8316,negative
17212231,"Inferno (Robert Langdon, #4)",Dan Brown,3.8,0.0,neutral
47281,Number the Stars,Lois Lowry,4.11,0.0772,neutral
13145,"Along Came a Spider (Alex Cross, #1)",James Patterson,4.08,0.0,neutral
10614,Misery,Stephen King,4.11,-0.5719,negative
66559,Sharp Objects,Gillian Flynn,3.92,0.0,neutral
2839,Bridge to Terabithia,Katherine Paterson,3.98,0.0,neutral
30183,"Marked (House of Night, #1)","P.C. Cast, Kristin Cast",3.79,0.0,neutral
36072,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.05,0.7548,positive
1622,A Midsummer Night's Dream,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey",3.94,0.25,neutral
4588,Extremely Loud and Incredibly Close,Jonathan Safran Foer,3.97,0.0,neutral
11387515,Wonder,R.J. Palacio,4.43,0.0,neutral
233093,The Cat in the Hat,Dr. Seuss,4.15,0.0,neutral
11235712,"Cinder (The Lunar Chronicles, #1)",Marissa Meyer,4.15,0.0,neutral
16160797,"The Cuckoo's Calling (Cormoran Strike, #1)","Robert Galbraith, J.K. Rowling",3.83,-0.128,neutral
6068551,"Shiver (The Wolves of Mercy Falls, #1)",Maggie Stiefvater,3.78,0.3612,neutral
662,Atlas Shrugged,"Ayn Rand, Leonard Peikoff",3.68,0.0,neutral
49436,Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,"Greg Mortenson, David Oliver Relin",3.64,0.7269,positive
13023,Alice in Wonderland,"Jane Carruth, Lewis Carroll, Rene Cloke",4.03,0.0,neutral
1232,"The Shadow of the Wind (The Cemetery of Forgotten Books,  #1)","Carlos Ruiz Zafón, Lucia Graves",4.24,-0.4767,neutral
7631105,"The Scorch Trials (Maze Runner, #2)",James Dashner,3.93,0.0,neutral
4865,How to Win Friends and Influence People,Dale Carnegie,4.13,0.7845,positive
480479,Under the Tuscan Sun,Frances Mayes,3.72,0.0,neutral
19486412,Big Little Lies,Liane Moriarty,4.2,-0.3626,neutral
24337,Ella Enchanted,Gail Carson Levine,3.97,0.3818,neutral
3876,The Sun Also Rises,Ernest Hemingway,3.83,0.0,neutral
14891,A Tree Grows in Brooklyn,Betty  Smith,4.24,0.0,neutral
13148,"Kiss the Girls (Alex Cross, #2)",James Patterson,3.93,0.4215,neutral
21853621,The Nightingale,Kristin Hannah,4.54,0.0,neutral
6334,Never Let Me Go,Kazuo Ishiguro,3.8,0.0,neutral
366522,P.S. I Love You,Cecelia Ahern,4.01,0.6369,positive
12873,Rebecca,"Daphne du Maurier, Sally Beauman",4.2,0.0,neutral
18373,Flowers for Algernon,Daniel Keyes,4.07,0.0,neutral
6952,Like Water for Chocolate,"Laura Esquivel, Thomas  Christensen, Carol Christensen",3.94,0.3612,neutral
1103,Snow Flower and the Secret Fan,Lisa See,4.05,0.3182,neutral
22034,The Godfather,"Mario Puzo, Robert Thompson, Peter Bart",4.36,0.0,neutral
49750,An Abundance of Katherines,John Green,3.63,0.0,neutral
29579,Foundation (Foundation #1),Isaac Asimov,4.13,0.0,neutral
15783514,The Ocean at the End of the Lane,Neil Gaiman,3.99,0.0,neutral
30118,A Light in the Attic,Shel Silverstein,4.34,0.0,neutral
29056083,"Harry Potter and the Cursed Child - Parts One and Two (Harry Potter, #8)","John Tiffany, Jack Thorne, J.K. Rowling",3.75,0.0,neutral
11614718,"Delirium (Delirium, #1)",Lauren Oliver,3.99,0.0,neutral
32499,The Pelican Brief,John Grisham,3.95,0.0,neutral
17061,Coraline,Neil Gaiman,4.03,0.0,neutral
12067,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch","Terry Pratchett, Neil Gaiman",4.25,0.4939,neutral
70401,On the Road,Jack Kerouac,3.64,0.0,neutral
16181775,"The Rosie Project (Don Tillman, #1)",Graeme Simsion,4.01,0.0,neutral
3063499,The Lucky One,Nicholas Sparks,4.1,0.4215,neutral
2122,The Fountainhead,"Ayn Rand, Leonard Peikoff",3.85,0.0,neutral
19691,"The Hunt for Red October (Jack Ryan Universe, #4)",Tom Clancy,4.01,0.0,neutral
76620,"Watership Down (Watership Down, #1)",Richard Adams,4.05,0.0,neutral
10335308,Is Everyone Hanging Out Without Me? (And Other Concerns),Mindy Kaling,3.84,0.0,neutral
3591262,Cutting for Stone,Abraham Verghese,4.28,-0.128,neutral
140225,"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)","C.S. Lewis, Pauline Baynes",4.08,0.0,neutral
295,Treasure Island,Robert Louis Stevenson,3.82,0.296,neutral
9520360,"The Son of Neptune (The Heroes of Olympus, #2)",Rick Riordan,4.44,0.5106,positive
10644930,11/22/63,Stephen King,4.29,0.0,neutral
4948,The Very Hungry Caterpillar Board Book,Eric Carle,4.29,0.0,neutral
135479,Cat's Cradle,Kurt Vonnegut Jr.,4.18,0.0,neutral
2493,The Time Machine,"H.G. Wells, Greg Bear, Carlo Pagetti",3.87,0.25,neutral
7933292,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,"Todd Burpo, Lynn Vincent",4.01,0.8451,positive
39999,The Boy in the Striped Pajamas,John Boyne,4.1,0.0,neutral
4900,Heart of Darkness,Joseph Conrad,3.42,-0.25,neutral
7812659,Safe Haven,Nicholas Sparks,4.19,0.4404,neutral
52529,"The Secret (The Secret, #1)",Rhonda Byrne,3.62,0.0,neutral
227711,I Know This Much Is True,Wally Lamb,4.17,0.4215,neutral
10583,Pet Sematary,Stephen King,3.91,0.0,neutral
5203,She's Come Undone,Wally Lamb,3.84,0.0,neutral
1215032,"The Wise Man's Fear (The Kingkiller Chronicle, #2)",Patrick Rothfuss,4.57,-0.0258,neutral
33724,Can You Keep a Secret?,Sophie Kinsella,3.83,0.0,neutral
6752378,"City of Fallen Angels (The Mortal Instruments, #4)",Cassandra Clare,4.16,-0.3612,neutral
14748,"Good in Bed (Cannie Shapiro, #1)",Jennifer Weiner,3.7,0.4404,neutral
3412,The Thorn Birds,Colleen McCullough,4.22,0.0,neutral
2213661,The Graveyard Book,"Neil Gaiman, Dave McKean",4.12,-0.296,neutral
13158800,The Light Between Oceans,M.L. Stedman,4.0,0.0,neutral
28194,"Inkheart (Inkworld, #1)","Cornelia Funke, Anthea Bell",3.86,0.0,neutral
4894,Who Moved My Cheese?,"Spencer Johnson, Kenneth H. Blanchard",3.74,0.0,neutral
9791,A Walk in the Woods,Bill Bryson,4.05,0.0,neutral
13214,I Know Why the Caged Bird Sings,Maya Angelou,4.19,0.0,neutral
15818107,Orphan Train,Christina Baker Kline,4.14,0.0,neutral
8755776,"City of Lost Souls (The Mortal Instruments, #5)",Cassandra Clare,4.3,-0.3182,neutral
13526165,"Where'd You Go, Bernadette",Maria Semple,3.9,0.0,neutral
10365,Where the Red Fern Grows,Wilson Rawls,4.04,0.0,neutral
14497,Neverwhere,Neil Gaiman,4.18,0.0,neutral
9717,The Unbearable Lightness of Being,"Milan Kundera, Michael Henry Heim",4.08,0.0,neutral
16068905,Fangirl,Rainbow Rowell,4.12,0.0,neutral
4473,A Prayer for Owen Meany,John Irving,4.22,0.0,neutral
32234,White Oleander,Janet Fitch,3.93,0.0,neutral
9275658,"Legend (Legend, #1)",Marie Lu,4.19,0.0,neutral
14866,Nineteen Minutes,Jodi Picoult,4.1,0.0,neutral
